price_vnd,sim_number
450000,0343189288
3000000,0888899580
500000,0928960006
5000000,0902438679
450000,0334307889
450000,0328190680
12000000,0926052005
3000000,0921220924
500000,0877001866
199000000,0769889999
500000,0879161786
450000,0343558799
5000000,0866615679
1000000,0869856892
450000,0343684386
5000000,0827808088
104000000,0786008888
1000000,0763659259
5000000,0971318568
500000,0377321486
450000,0862998937
450000,0865487079
3000000,0566682868
14000000,0834141141
1000000,0916789815
11325000,0856637678
3000000,0847797988
500000,0904434880
1000000,0979792743
1000000,0765959695
11325000,0825294678
10000000,0384076888
500000,0901184676
450000,0334666375
3000000,0944468567
450000,0333954588
11325000,0827470678
450000,0865514899
1000000,0773322899
5000000,0815818186
1000000,0906111937
1000000,0788333178
3000000,0707086696
450000,0335316739
450000,0364556499
450000,0328030803
3000000,0912404244
500000,0869919815
450000,0344233395
3000000,0978573993
3000000,0832404144
450000,0865756785
5000000,0865777792
13000000,0767890022
450000,0343321286
500000,0941219123
1000000,0798586767
1000000,0921150797
3000000,0979547786
1000000,0943509439
10000000,0971908868
1000000,0948858546
5000000,0793522228
3000000,0703631631
450000,0866031393
450000,0865550139
5000000,0342424296
500000,0857866939
500000,0368803768
500000,0877152986
450000,0328199967
500000,0911217517
450000,0333047139
1000000,0764656234
3000000,0906838396
450000,0342130696
500000,0354024669
188000000,0982228999
500000,0326070685
5000000,0772892345
12000000,0352918999
450000,0335499139
500000,0909620653
500000,0396272442
1000000,0705981962
450000,0326010003
10400000,0933331389
500000,0879612456
500000,0889247226
12000000,0826102010
1000000,0942400190
500000,0963496323
450000,0336208966
1000000,0943867315
11325000,0854508678
3000000,0792861939
12500000,0765166166
1000000,0763643642
450000,0343651399
500000,0982972077
450000,0334739266
500000,0911213093
500000,0965102876
5000000,0769333325
1000000,0769687079
1000000,0946758374
500000,0368947488
500000,0868721662
450000,0327617772
10000000,0815259888
450000,0982034573
450000,0332643679
450000,0336043773
1000000,0708187557
3000000,0899666601
3000000,0824481481
5000000,0855661982
11000000,0824101101
500000,0988076494
5000000,0938304030
59000000,0336678999
3000000,0383217879
10000000,0968333302
12000000,0327171171
5000000,0794999933
1000000,0763714711
5000000,0961641990
3000000,0938575898
14000000,0858881995
3000000,0934595359
1000000,0708025021
500000,0931395759
11325000,0817253678
500000,0523501992
450000,0343933669
450000,0329832566
12000000,0924071979
1000000,0988908510
500000,0924890686
450000,0334838599
450000,0865050497
500000,0879484889
10000000,0905388268
12000000,0868838366
500000,0966052584
5000000,0888803686
450000,0368020196
3000000,0906611997
3000000,0936562014
5000000,0784865865
5000000,0379551984
500000,0877100897
1000000,0942268185
12000000,0847795678
3000000,0979692010
5000000,0866838879
1000000,0778566977
3000000,0898260898
5000000,0888313737
15000000,0815072021
1000000,0762755833
500000,0989754971
1000000,0936663769
5000000,0352656569
5000000,0399469668
1000000,0936381583
500000,0976012723
500000,0987445960
10000000,0968982366
1000000,0963625139
1000000,0888613577
3000000,0898989213
3000000,0822345858
450000,0327387771
500000,0907097143
13500000,0325012010
500000,0929991325
500000,0879935639
450000,0327561039
1000000,0778539210
3000000,0929989286
3000000,0961866852
3000000,0911270039
55000000,0901455455
450000,0866383530
5000000,0339900575
1000000,0869221639
5000000,0854403403
450000,0327022294
500000,0963702718
11700000,0789938686
450000,0369043444
3000000,0363366879
3000000,0393179444
3000000,0367611986
500000,0944570266
450000,0354296799
5000000,0797357878
1000000,0394390868
450000,0329872234
1000000,0708042542
3000000,0901459229
500000,0963271665
1000000,0583777277
5000000,0847473838
500000,0909836004
5000000,0943999266
3000000,0933081975
1000000,0708001975
1000000,0898322531
1000000,0769944078
5000000,0777088852
3000000,0978801568
12500000,0973818586
5000000,0768368777
3000000,0783735666
13600000,0384281888
450000,0344230968
1000000,0366263827
75000000,0989071111
3000000,0363102777
1000000,0763691012
50000000,0784666777
1000000,0917226495
500000,0385685677
1000000,0852113299
299000000,0985777779
3000000,0888193678
500000,0919639925
1000000,0702677255
